Name,Average Duration (Session),Average Player Load (Session),Jumps,Jump Ratio,Explosive Efforts,Accelerations,Decelerations,Change Of Directions,Player Load Per Min,Jumps per Minute,Explosive Efforts per Minute,Decelerations Per Min,Accelerations Per Min,Change of Directions per Minute
Caitlin Thwaites - Match,1:05:52,415.49013,55.13333,0.51391,59.86667,119,136.8,546.8,6.30796,0.83703,0.90889,2.07689,1.80665,10.28224
Elizabeth Watson - Match,1:06:07,677.08231,34.52,0.50985,56.4,109.08,208.56,489.04,10.23871,0.52198,0.85283,3.15367,1.64942,8.47028
Emily Mannix - Match,1:02:23,477.57484,85.09524,0.42529,73.14286,169.38095,154.71429,449.09524,7.65506,1.36399,1.17241,2.47992,2.71501,8.9816
Jacqueline Newton - Match,0:17:23,100.85284,16,0.5625,3,29,20,42,5.80175,0.92042,0.17258,1.15053,1.66826,4.02685
Joanna Weston - Match,1:04:24,651.4628,71.36364,0.40892,62.31818,99.40909,163.68182,504.5,10.11359,1.10788,0.96745,2.54107,1.54327,9.68725
Kadie Ann Dehaney - Match,0:29:48,222.12887,24.95,0.58116,25.5,68.5,51.75,177.65,7.45246,0.83708,0.85553,1.73622,2.29819,7.78532
Kate Moloney - Match,1:07:01,749.18537,54.88,0.30175,58.04,140.6,178.12,587.24,11.17805,0.81882,0.86597,2.6576,2.09779,11.33583
Kate Eddy - Match,0:30:14,264.18833,29,0.48276,24,36,73,178,8.73485,0.95883,0.79351,2.4136,1.19027,7.00935
Mwai Kumwenda - Match,0:47:53,361.47169,44.71429,0.58466,46.78571,96.92857,110,251.78571,7.54852,0.93376,0.97701,2.2971,2.02413,6.14698
Sacha McDonald - Match,0:30:14,319.51288,18,0.38889,24,58,91,327,10.56404,0.59513,0.79351,3.00873,1.91765,11.80347
Tayla Honey - Match,0:24:53,258.65359,5,0.7,23,43.5,48,195.5,10.39455,0.20094,0.9243,1.92898,1.74814,9.42388
Tegan Philip - Match,1:07:04,640.14114,39.66667,0.28151,45.20833,101.33333,197.75,485.41667,9.54473,0.59144,0.67407,2.94852,1.51091,8.74554
