Name,Average Duration (Session),Average Player Load (Session),Jumps,Jump Ratio,Explosive Efforts,Accelerations,Decelerations,Change Of Directions,Player Load Per Min,Jumps per Minute,Explosive Efforts per Minute,Decelerations Per Min,Accelerations Per Min,Change of Directions per Minute
Allie Smith - 20 Point Thrown In,0:33:57,284.32422,21,0.38095,33,78,80,250,8.37097,0.61827,0.97157,2.35533,2.29645,8.42031
Allie Smith - 2v1 Open Space,0:02:13,37.82402,1,0,2,11,13,37,17.03273,0.45032,0.90063,5.8541,4.95347,18.91324
Allie Smith - 2v2,0:08:28,55.18042,10,0.7,15,22,24,60,6.51737,1.1811,1.77165,2.83465,2.59843,8.26772
Allie Smith - 2v2 Open Space,0:05:20,43.6132,5.5,0.27273,10,21,21,34,8.17224,1.03059,1.8738,3.93498,3.93498,6.83937
Allie Smith - 3 Feed and Shoot Drill,0:11:25,69.327,14,0.5,12,40,24,74,6.07244,1.22628,1.05109,2.10219,3.50365,8.67153
Allie Smith - 3v3,0:35:07,158.2536,13,0.38462,10,46,38,145,4.50589,0.37014,0.28473,1.08196,1.30974,4.81187
Allie Smith - Cecil,0:06:19,46.00576,8,0.125,3,7,5,32,7.26598,1.26349,0.47381,0.78968,1.10555,5.84364
Allie Smith - Centre Pass,0:11:36,33.2907,4,0,2,8,2,8,2.8682,0.34462,0.17231,0.17231,0.68925,0.94772
Allie Smith - Circle Entry,0:14:34,58.50071,7.33333,0.34091,9.66667,23.83333,16.5,60.66667,4.01442,0.50323,0.66334,1.13226,1.63549,4.7349
Allie Smith - Conditioning,0:25:34,304.54041,0,n/a,9,10,12,70,11.91162,0,0.35202,0.46936,0.39113,3.67666
Allie Smith - Defensive Technique,0:22:32,82.30228,14.5,0.34483,11,19.5,23.5,68.5,3.65213,0.64343,0.48812,1.0428,0.8653,3.72747
Allie Smith - End to End,0:09:30,69.78916,14,0.71429,6.5,30,17.5,75,7.34513,1.47346,0.68411,1.84183,3.15742,9.15653
Allie Smith - Finisher,0:07:56,60.85885,10.4,0.48077,4.2,28,18.6,32.6,7.66703,1.3102,0.52912,2.34324,3.52746,4.88805
Allie Smith - Finisher Mid Only,0:07:18,61.5348,11,0.18182,9,12,13,56,8.42808,1.50661,1.23268,1.78054,1.64357,12.60073
Allie Smith - Footwork Drill,0:18:06,116.75655,17.66667,0.56604,20,36.25,40.5,110.25,6.4499,0.97595,1.10485,2.23731,2.00253,7.01577
Allie Smith - Full Court Transition,0:17:43,104.59659,7.5,0.53333,9.5,18.5,16,71,5.90108,0.42313,0.53597,0.90268,1.04372,4.79549
Allie Smith - Half Court Transitition,0:14:29,83.21826,10,0.2,9,20,31,74,5.74579,0.69045,0.6214,2.14039,1.3809,6.14499
Allie Smith - Intercept,0:08:32,53.48818,6.66667,0.15,9,14.66667,13.33333,54,6.25975,0.7802,1.05327,1.56041,1.71645,7.37292
